date time,message id,agency,message
02-08-2024 08_41_38,7012498,30,OAK82 PR: 2 - : @ST AGNES SHOPPING CENTRE ST AGNES 85 C 12 D00352 Disp: 08:41 Unconsciou
02-08-2024 08_41_12,7012496,10,MFS: ADDITIONAL INFO FOR INC024 - FROM STAFF ON SCENE ACTIVATION DUE TO STEAM - REQUIRE ATTENDANCE TO INVESTIGATE & ASSIST
02-08-2024 08_41_11,7012495,10,MFS: ADDITIONAL INFO FOR INC024 - FROM STAFF ON SCENE ACTIVATION DUE TO STEAM - REQUIRE ATTENDANCE TO INVESTIGATE & ASSIST
02-08-2024 08_41_09,7012494,10,MFS: ADDITIONAL INFO FOR INC024 - FROM STAFF ON SCENE ACTIVATION DUE TO STEAM - REQUIRE ATTENDANCE TO INVESTIGATE & ASSIST
02-08-2024 08_41_00,7012493,30,GX77 PR: 7 - : @RAH: FVA ETD 1100 ADELAIDE 3 G 1 D00348 Disp: 08:40 TRANSFER
02-08-2024 08_40_02,7012492,30,WK71 PR: 2 - WAIKERIE D00346 Disp: 08:39 Chest Pain
02-08-2024 08_40_02,7012489,30,WK71 PR: 2 - WAIKERIE D00346 Disp: 08:39 Chest Pain
02-08-2024 08_36_47,7012487,10,"MFS: *CFSRES INC0024 02/08/24 08:36 RESPOND FIRE ALARM, ALARM LEVEL: 1, : @NIPPYS #332/001 153 LOXTON DR MOOROOK,MAP:RLMM 214 4006,TG 203, ==INPUT #1 FIP - ADMIN BUILDING :BARM24P_H MORK34 :"
02-08-2024 08_36_45,7012486,10,"MFS: *CFSRES INC0024 02/08/24 08:36 RESPOND FIRE ALARM, ALARM LEVEL: 1, : @NIPPYS #332/001 153 LOXTON DR MOOROOK,MAP:RLMM 214 4006,TG 203, ==INPUT #1 FIP - ADMIN BUILDING :BARM24P_H MORK34 :"
02-08-2024 08_36_43,7012485,10,"MFS: *CFSRES INC0024 02/08/24 08:36 RESPOND FIRE ALARM, ALARM LEVEL: 1, : @NIPPYS #332/001 153 LOXTON DR MOOROOK,MAP:RLMM 214 4006,TG 203, ==INPUT #1 FIP - ADMIN BUILDING :BARM24P_H MORK34 :"
02-08-2024 08_36_16,7012484,20,"MFS: *CFSRES INC0017 02/08/24 08:36 RESPOND TRAINING/TEST ONLY, ALARM LEVEL: 1, : @MFS - ANGLE PARK TRAINING MFS 546 GRAND JUNCTION RD ANGLE PARK,MAP:ADL 93 D10,TG C166 T186, :ADL204 ADL204_CAR GAW359 :"
02-08-2024 08_34_02,7012482,30,MV62 Crew Welfare Check URGMSG
02-08-2024 08_31_23,7012480,30,OAK820 PR: 3 - SALISBURY EAST 71 P 9 D00339 Disp: 08:31 Abdominal
02-08-2024 08_31_12,7012479,10,"MONBULLA AGM Wednesday 7th at 6pm , please notify of attendance BYO Bbq after Cheers Todd"
02-08-2024 08_31_10,7012478,20,"MFS: *CFSRES INC0023 02/08/24 08:30 RESPOND FIRE ALARM, ALARM LEVEL: 1, : @ACH HIGHERCOMBE #030/001 5-11 SIRIUS AV HOPE VALLEY,MAP:ADL 96 Q4,TG C160 T190, ==INPUT #1 FIP - DRY DETECTION :OAK301 OAK303 :"
02-08-2024 08_31_09,7012477,20,"MFS: *CFSRES INC0023 02/08/24 08:30 RESPOND FIRE ALARM, ALARM LEVEL: 1, : @ACH HIGHERCOMBE #030/001 5-11 SIRIUS AV HOPE VALLEY,MAP:ADL 96 Q4,TG C160 T190, ==INPUT #1 FIP - DRY DETECTION :OAK301 OAK303 :"
02-08-2024 08_31_07,7012476,20,"MFS: *CFSRES INC0023 02/08/24 08:30 RESPOND FIRE ALARM, ALARM LEVEL: 1, : @ACH HIGHERCOMBE #030/001 5-11 SIRIUS AV HOPE VALLEY,MAP:ADL 96 Q4,TG C160 T190, :OAK301 OAK303 :"
02-08-2024 08_30_55,7012475,30,PS76 PR: 8 - : @RAH : 2G MHSSU - TO BE ASSESSED ADELAIDE 3 G 1 D00338 Disp: 08:30 TRANSFER
02-08-2024 08_30_53,7012474,30,HI709 PR: 1 - ASHFORD 129 N 5 D00337 Disp: 08:27 Unknown Pr
02-08-2024 08_28_45,7012471,30,GG82 PR: 2 - GLENGOWRIE 140 L 11 D00334 Disp: 08:28 OTHER EMER
02-08-2024 08_28_31,7012470,20,"MFS: *CFSRES INC0017 02/08/24 08:28 RESPOND TRAINING/TEST ONLY, ALARM LEVEL: 1, : @MFS - ANGLE PARK TRAINING MFS 546 GRAND JUNCTION RD ANGLE PARK,MAP:ADL 93 D10,TG C166 T186, :ADL204 ADL204_CAR :"
02-08-2024 08_28_08,7012469,30,GG63 PR: 1 - ASHFORD 129 N 5 D00332 Disp: 08:27 Unknown Pr
02-08-2024 08_27_47,7012467,20,"MFS: *CFSRES INC0021 02/08/24 08:27 RESPOND STRUCTURE FIRE, ALARM LEVEL: 1, WEATHERSTONE CRES MAWSON LAKES,MAP:ADL 82 G7,TG C162 T182, ==SMK FROM BACK DOOR :SAL321 SRG03 :"
02-08-2024 08_27_45,7012466,20,"MFS: *CFSRES INC0021 02/08/24 08:27 RESPOND STRUCTURE FIRE, ALARM LEVEL: 1, WEATHERSTONE CRES MAWSON LAKES,MAP:ADL 82 G7,TG C162 T182, :SAL321 SRG03 :"
02-08-2024 08_25_38,7012465,30,PG71 PR: 2 - : @EDENFIELD FAMILY CARE (RAMSAY) - PORT AUGUSTA PORT AUGUSTA PUG 2 J 11 D00330 Disp: 08:25 Chest Pain
02-08-2024 08_25_25,7012464,30,H604 PR: 2 - VALLEY VIEW 96 C 3 D00329 Disp: 08:25 Unknown Pr
02-08-2024 08_25_16,7012463,30,GG66 PR: 5 - : @BUCKLANDS RESIDENTIAL CARE - NORTH PLYMPTON NORTH PLYMPTON 129 E 9 D00328 Disp: 08:25 Falls
02-08-2024 08_24_27,7012462,30,OAK63 PR: 6 - : @MOHO: ED - 0030 > 0800 MODBURY 96 H 2 D00327 Disp: 08:24 TRANSFER
02-08-2024 08_23_23,7012461,30,Please call CSDNO
02-08-2024 08_22_47,7012460,30,SEA63 Crew Welfare Check URGMSG
02-08-2024 08_21_47,7012459,30,N82 PR: 2 - HACKHAM WEST 186 H 11 D00325 Disp: 08:21 Chest Pain
02-08-2024 08_20_17,7012458,30,HEAD TO EW TO PICK UP YOUR PARTNER
02-08-2024 08_14_23,7012456,30,CAN YOU PLEASE TRACK TO PARAFIELD FOR STANDBY- THANKS
02-08-2024 08_13_17,7012455,30,N82 PR: 3 - ONKAPARINGA HILLS 187 A 13 D00323 Disp: 08:13 OTHER EMER
02-08-2024 08_13_15,7012454,30,CAN YOU PLEASE TRACK TO REDWOOD PARK FOR STANDBY- THANKS
02-08-2024 08_11_55,7012453,30,PFD82 PR: 3 - ELIZABETH VALE 61 Q 10 D00322 Disp: 08:11 Stroke (CV
02-08-2024 08_11_48,7012451,30,PP84 PR: 3 - : @PPHL: FXJ CONF 0825 PORT PIRIE PPI 1 K 8 D00320 Disp: 08:11 TRANSFER
02-08-2024 08_11_17,7012450,30,ST81 PR: 3 - STRATHALBYN 252 A 1 D00319 Disp: 08:11 Falls
02-08-2024 08_10_42,7012449,30,GX88 PR: 8 - : @NORTH EASTERN HOSPITAL - 0800>0830 CAMPBELLTOWN 107 N 7 D00260 Disp: 07:14 Palliative
02-08-2024 08_10_41,7012448,30,GX48 PR: 7 - : @SALISBURY PRIVATE NURSING HOME: 02/08 GX48 0830 SALISBURY SOUTH 71 J 11 D00241 Disp: 07:02 TRANSFER
02-08-2024 08_10_41,7012447,30,GX48 PR: 7 - : @SALISBURY PRIVATE NURSING HOME: 02/08 GX48 0830 SALISBURY SOUTH 71 J 11 D00241 Disp: 07:02 TRANSFER
02-08-2024 08_10_39,7012446,30,GX48 PR: 7 - : @SALISBURY PRIVATE NURSING HOME: 02/08 GX48 0830 SALISBURY SOUTH 71 J 11 D00241 Disp: 07:02 TRANSFER
02-08-2024 08_10_39,7012445,30,GX48 PR: 7 - : @SALISBURY PRIVATE NURSING HOME: 02/08 GX48 0830 SALISBURY SOUTH 71 J 11 D00241 Disp: 07:02 TRANSFER
02-08-2024 08_10_31,7012444,30,E88 PR: 8 - : @HAMPSTEAD REHABILITATION CENTRE NORTHFIELD 94 M 14 D00282 Disp: 07:35 Discharge
02-08-2024 08_09_30,7012443,30,E62 PR: 2 - ONE TREE HILL 54 E 13 D00314 Disp: 08:09 Chest Pain
02-08-2024 08_08_27,7012442,30,H705 PR: 2 - BLAIR ATHOL 94 D 10 D00312 Disp: 08:08 Unconsciou
02-08-2024 08_07_31,7012441,30,OAK76 PR: 5 - : @ELDERCARE - HOPE VALLEY HOPE VALLEY 96 K 6 D00310 Disp: 08:07 Falls
02-08-2024 08_06_17,7012440,30,E72 PR: 4 - DAVOREN PARK 41 P 13 D00309 Disp: 08:06 Sick Perso
02-08-2024 08_05_53,7012439,30,GR73 PR: 2 - :UNIT 102 EUREKA CARE COMMUNITIES ELIZABETH VALE 61 L 15 D00308 Disp: 08:05 Chest Pain
02-08-2024 08_04_57,7012438,30,"PA77 PR: 5 - : @MARTEN RETIREMENT VILLAGE - VICTORIA RD, LARGS NORTH LARGS NORTH 79 P 10 D00307 Disp: 08:04 Sick Perso"
02-08-2024 07_55_12,7012437,30,EW79 PR: 8 - : @SOUTHERN CROSS CARE - ONKAPARINGA LODGE HUNTFIELD HEIGHTS 186 J 16 D00273 Disp: 07:23 OPD
02-08-2024 07_53_45,7012436,30,CREW P2 FROM LOCKLEYS AREA
02-08-2024 07_53_14,7012435,30,GR73 PR: 4 - DAVOREN PARK 41 P 13 D00297 Disp: 07:53 Sick Perso
02-08-2024 07_52_44,7012433,30,GR73 PR: 2 - DAVOREN PARK 41 N 14 D00295 Disp: 07:52 Chest Pain
02-08-2024 07_50_32,7012432,30,F64 PR: 2 - : H702 SEACOMBE GARDENS 153 C 6 D00294 Disp: 07:50 Sick Perso
02-08-2024 07_47_40,7012430,30,MV62 PR: 2 - HACKHAM WEST 186 H 12 D00292 Disp: 07:47 Abdominal
02-08-2024 07_47_38,7012429,30,N725 PR: 2 - ONKAPARINGA HILLS 177 J 15 D00291 Disp: 07:41 Chest Pain
02-08-2024 07_46_47,7012428,30,PFD72 PR: 2 - MAWSON LAKES 82 K 4 D00290 Disp: 07:46 Headache
02-08-2024 07_42_23,7012427,30,MU71 PR: 2 - MANNUM SMM 1 E 10 D00289 Disp: 07:42 Breathing
02-08-2024 07_41_45,7012426,30,MV62 PR: 2 - ONKAPARINGA HILLS 177 J 15 D00288 Disp: 07:41 Chest Pain
02-08-2024 07_39_15,7012425,30,PP181 PR: 1 - PORT PIRIE SOUTH PPI 4 C 2 D00285 Disp: 07:39 Cardiac or
02-08-2024 07_36_30,7012424,30,SEA63 PR: 3 - : H702 SEACOMBE GARDENS 153 C 6 D00283 Disp: 07:36 Sick Perso
02-08-2024 07_34_49,7012423,30,BV181 PR: 2 - ANGASTON SAG 1 G 14 D00281 Disp: 07:34 Abdominal
02-08-2024 07_34_00,7012422,30,H702 PR: 2 - SEACOMBE GARDENS 153 C 6 D00279 Disp: 07:33 Sick Perso
02-08-2024 07_32_42,7012421,30,RN181 PR: 2 - RENMARK RMK 1 K 8 D00278 Disp: 07:32 Haemorrhag
02-08-2024 07_32_15,7012420,30,PAR62 PR: 2 - GLANDORE 129 J 13 D00277 Disp: 07:32 Chest Pain
02-08-2024 07_26_23,7012419,30,EW78 PR: 8 - : @FMC : 4SMG BEDFORD PARK 153 L 6 D00248 Disp: 07:09 OPD
02-08-2024 07_25_02,7012418,30,M72 PR: 2 - GLENELG NORTH 6 K 6 D00274 Disp: 07:24 Psychiatri
02-08-2024 07_22_32,7012417,30,RP63 PR: 2 - ANDREWS FARM 41 M 13 D00272 Disp: 07:22 Sick Perso
02-08-2024 07_22_31,7012416,30,N63 PR: 9 - : @FMC: EOS RELIEF MB182 BEDFORD PARK 153 L 6 D00271 Disp: 07:22 Abdominal
02-08-2024 07_22_29,7012415,30,PA63 PR: 2 - WEST LAKES SHORE 91 H 15 D00270 Disp: 07:22 Heart Prob
02-08-2024 07_20_57,7012414,30,M72 PR: 3 - GLANDORE 129 J 13 D00269 Disp: 07:20 Psychiatri
02-08-2024 07_18_46,7012412,30,V76 PR: 5 - : @SOUTH COAST DISTRICT HOSPITAL VICTOR HARBOR 313 K 1 D00267 Disp: 07:18 HEALTH CAR
02-08-2024 07_18_14,7012410,30,ST76 PR: 7 - : @MBHL MOUNT BARKER 173 A 14 D00266 Disp: 07:18 TRANSFER
02-08-2024 07_17_00,7012409,30,W181 PR: 2 - CHARLESTON 125 Q 4 D00265 Disp: 07:16 Chest Pain
02-08-2024 07_14_45,7012407,30,P72 PR: 3 - SEFTON PARK 106 H 5 D00264 Disp: 07:14 Pregnancy
02-08-2024 07_14_32,7012406,30,GX78 PR: 8 - : @MOHO: ED - 0030 > 0800 MODBURY 96 H 2 D00243 Disp: 07:06 TRANSFER
02-08-2024 07_14_31,7012405,30,F78 PR: 8 - : @MOHO : ED - 0500 > 0800 MODBURY 96 H 2 D00244 Disp: 07:06 Discharge
02-08-2024 07_14_31,7012404,30,PFD63 PR: 9 - : @ND - (SAAS) MAYLANDS 119 F 5 D00261 Disp: 07:14 Vehicle Mo
02-08-2024 07_13_34,7012403,30,MU76 PR: 4 - : @MURRAY BRIDGE HOSPITAL MURRAY BRIDGE 350 E 10 D00259 Disp: 07:13 HEALTH CAR
02-08-2024 07_12_19,7012402,30,G71 PR: 2 - WILLASTON 23 H 3 D00257 Disp: 07:12 Heart Prob
02-08-2024 07_12_14,7012400,30,JA60 PR: 3 - : @JAHL: FXJ CONF 0745 JAMESTOWN SJT 1 L 10 D00256 Disp: 07:12 TRANSFER
02-08-2024 07_11_55,7012399,30,MA70 PR: 9 - : @SAAS - MALLALA MA70 @0700 MALLALA D00254 Disp: 07:11 Vehicle Mo
02-08-2024 07_11_51,7012398,30,PAR72 PR: 3 - :FLR NO. 2 FORESTVILLE 129 N 6 D00253 Disp: 07:11 Back Pain
02-08-2024 07_11_40,7012397,30,AS72 PR: 2 - SOUTH PLYMPTON 129 G 15 D00251 Disp: 07:11 Overdose /
02-08-2024 07_11_23,7012396,30,EW67 PR: 5 - ST GEORGES 131 K 7 D00250 Disp: 07:11 Abdominal
02-08-2024 07_10_01,7012394,30,EC73 PR: 6 - : @WARRINA CRESCENT AGED CARE - INGLE FARM:EC73 INGLE FARM 83 H 16 D00247 Disp: 07:09 Haemorrhag
02-08-2024 07_09_59,7012393,30,EC7 PR: 6 - : @ALL HALLOWS COURT NURSING HOME: EC7 WESTBOURNE PARK 130 E 15 D00246 Disp: 07:09 Haemorrhag
02-08-2024 07_01_55,7012392,30,GR72 PR: 2 - MUNNO PARA WEST 42 A 6 D00240 Disp: 07:01 Convulsion
02-08-2024 07_01_47,7012391,30,E72 PR: 2 - : P2 CLINICAL BACKUP GAWLER WEST 23 H 12 D00239 Disp: 07:01 Headache
02-08-2024 06_59_40,7012390,30,F62 PR: 2 - LOCKLEYS 116 P 9 D00237 Disp: 06:59 Falls
02-08-2024 06_49_32,7012389,30,GG63 PR: 2 - NOVAR GARDENS 128 L 12 D00234 Disp: 06:49 Breathing
02-08-2024 06_49_02,7012388,20,"MFS: *CFSRES INC0014 02/08/24 06:48 RESPOND CHANGE OF QUARTERS, ALARM LEVEL: 1, : @MFS - MULTIPLE STATIONS ADELAIDE,MAP:ADL 118 H12,TG C156 T186, ==429-46, 401-43,409-42, 202-40 :ADL202 OHH429 STM401 STM409 :"
02-08-2024 06_49_02,7012387,30,MI181 PR: 2 - : @HIGHVIEW HOLIDAY VILLAGE ARDROSSAN SAD 1 G 3 D00233 Disp: 06:48 Abdominal
02-08-2024 06_49_00,7012386,20,"MFS: *CFSRES INC0014 02/08/24 06:48 RESPOND CHANGE OF QUARTERS, ALARM LEVEL: 1, : @MFS - MULTIPLE STATIONS,MAP:ADL 118 H12,TG C156 T186, :ADL202 OHH429 STM401 STM409 :"
02-08-2024 06_48_49,7012385,20,"MFS: *CFSRES INC0014 02/08/24 06:48 RESPOND CHANGE OF QUARTERS, ALARM LEVEL: 1, : @MFS - MULTIPLE STATIONS ADELAIDE,MAP:ADL 118 H12,TG C156 T186, ==429-46, 401-43,409-42, 202-40 :OHH429 STM401 STM409 :"
02-08-2024 06_48_48,7012384,20,"MFS: *CFSRES INC0014 02/08/24 06:48 RESPOND CHANGE OF QUARTERS, ALARM LEVEL: 1, : @MFS - MULTIPLE STATIONS,MAP:ADL 118 H12,TG C156 T186, :OHH429 STM401 STM409 :"
02-08-2024 06_48_46,7012383,20,"MFS: *CFSRES INC0014 02/08/24 06:48 RESPOND CHANGE OF QUARTERS, ALARM LEVEL: 1, : @MFS - MULTIPLE STATIONS ADELAIDE,MAP:ADL 118 H12,TG C156 T186, ==429-46, 401-43,409-42, 202-40 :OHH429 STM401 :"
02-08-2024 06_48_46,7012382,20,"MFS: *CFSRES INC0014 02/08/24 06:48 RESPOND CHANGE OF QUARTERS, ALARM LEVEL: 1, : @MFS - MULTIPLE STATIONS ADELAIDE,MAP:ADL 118 H12,TG C156 T186, ==429-46, 401-43,409-42, 202-40 :OHH429 :"
02-08-2024 06_48_45,7012381,20,"MFS: *CFSRES INC0014 02/08/24 06:48 RESPOND CHANGE OF QUARTERS, ALARM LEVEL: 1, : @MFS - MULTIPLE STATIONS,MAP:ADL 118 H12,TG C156 T186, :OHH429 STM401 :"
02-08-2024 06_48_43,7012380,20,"MFS: *CFSRES INC0014 02/08/24 06:48 RESPOND CHANGE OF QUARTERS, ALARM LEVEL: 1, : @MFS - MULTIPLE STATIONS,MAP:ADL 118 H12,TG C156 T186, :OHH429 :"
02-08-2024 06_48_04,7012379,30,WL1 PR: 3 - : RAIZER NEW TOWN SKD 1 H 3 D00232 Disp: 06:47 Falls
02-08-2024 06_47_51,7012378,30,PLEASE HEAD TO FMC THANKS
02-08-2024 06_42_23,7012377,30,CAN YOU HEAD TO FMC WHEN READY THANKS
